Рзаб;Pлин;Руст.1;Рзаб.1;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды.1;Pсб.1;G_total;КГФ
437.30000000000007;103.10805220883537;299.0;437.2;105.97709677419346;74.0;103.6;105.47;51.37921987951809;230.9797590361446;4.556070682730927;692.7940053879518;5599.8;354.6;4.7;92.573402417962;8.400533646134148;280.5615294373049
426.2;107.0626261467888;280.0;426.1;106.77129032258067;75.0;106.8;105.42;52.76279816513765;272.7696100917432;6.246333830275232;787.2638713911697;6020.6;421.6;6.4;91.09301751788799;9.636916858651475;292.2406966150632
414.0;109.78447484554317;255.0;413.9;109.39032258064499;75.0;110.2;105.36;55.513903795233944;302.6210767872898;8.340288261253283;896.9082714797881;6943.1;469.6;8.1;86.55317049099433;10.931155145659286;284.08411224113485
414.80000000000007;108.6331631722871;271.0;414.7;108.63999999999977;74.0;0.0;105.35;53.125238833181484;262.0141659070192;6.011751595259804;763.6386634106655;5914.3;401.1;6.1;95.04071058475203;9.327572099379012;289.18350400329433
424.5;100.12634143706153;298.0;424.5;102.25428571428557;70.0;0.0;105.37;44.88405024311182;179.76385197190743;3.2895430037817346;526.9099877034575;4204.5;274.0;3.3;87.04663212435234;6.41826341342675;287.5175146302226
403.4;111.38188006482996;298.0;402.9;111.61290322580646;64.0;32.0;104.42;42.44033954619124;118.27696110210711;1.4693333063209097;388.1844394216369;2724.6;184.3;1.5;87.63878608438193;4.587644763698678;254.839032065248
399.20000000000005;121.68292972057577;288.0;396.6;123.61679999999998;68.0;36.0;104.42;49.17873581710411;145.0345469940728;2.270067061812026;495.84535894089754;3324.9;229.5;2.3;86.25709351097953;5.833181955417568;243.234996427721
0.0;107.55553088133304;222.0;0.0;106.77;69.0;0.0;0.0;52.22178972935467;167.1;1.0;629.44012;5020.0;254.0;1.0;89.61263261781396;7.275189067726362;219.042278656448
341.5;106.0;251.286;345.0;114.7;25.0;0.0;104.9;26.5;40.0;0.0;0.0;1768.6;98.2;0.0;93.56032568467802;0.0;270.0
330.0;105.9;237.10049999999998;328.7;103.8;31.0;0.0;104.7;38.5;76.6;0.0;0.0;2315.9;122.1;0.0;93.56032568467802;0.0;251.0
316.0;108.9;222.915;316.1;108.7;37.0;0.0;104.6;45.0;91.8;1.1;0.0;2998.1;143.5;1.2;102.24525043177893;0.0;236.0
301.6;101.7;222.915;329.7;108.4;37.0;0.0;104.5;48.2;102.3;2.4;0.0;4013.4;158.9;2.4;96.71848013816926;0.0;217.0
359.9;100.2;258.0;359.9;100.2;57.0;33.0;105.1;33.2;59.6;1.3;247.2285;1839.2;94.7;1.2;96.32371083148284;0.0;200.0
346.9;98.9;248.0;346.9;98.8;62.0;38.5;104.88;39.0;74.0;2.6;340.13039999999995;2690.920702;119.1;2.7;94.25117197137922;0.0;180.0
330.5;94.5;232.0;330.5;93.1;66.0;42.9;104.5;43.3;88.7;3.8;429.84499;3706.486907;138.7;3.9;89.11917098445596;0.0;169.0
314.2;96.9;215.0;314.2;97.0;68.0;47.9;104.0;47.8;98.6;4.7;506.45941999999997;4437.442082;159.2;4.9;90.79694053787318;0.0;160.0
297.5;98.2;193.0;297.5;98.3;68.0;51.0;103.4;51.2;109.1;5.7;571.8362999999999;5035.740014;170.4;5.8;91.9812484579324;0.0;156.0
306.9;97.2;206.0;306.8;97.6;67.0;0.0;103.76;48.2;94.7;4.5;505.1327;4386.745588;149.6;4.6;91.2904021712312;0.0;153.0
0.0;100.36964188706226;215.0;0.0;100.26;58.0;0.0;0.0;37.535415296640444;55.4;0.5;296.32980000000003;2291.0;91.0;0.5;91.68517147791759;0.0;152.0
347.0;93.85216319444433;260.0;345.7;94.36306451612884;57.0;34.3;106.51;35.29383749999997;67.78739999999999;5.488664374999995;360.52518887326386;3019.1;104.0;5.6;86.75055514433754;0.0;152.0
342.0;94.36018113207544;248.0;335.4;94.1848387096773;60.0;38.5;106.48;40.51949056603775;79.31589886792453;5.4517244528301925;462.6248934593962;4002.5;122.7;5.6;86.75055514433754;0.0;138.0
0.0;102.13519083969554;200.0;0.0;102.23;66.0;0.0;0.0;48.36874392782796;80.9;0.7;492.60291;4109.0;416.0;0.7;91.78386380458919;0.0;131.0
403.0;105.3842298288512;270.76015090219585;404.8;105.95032258064525;47.0;0.0;104.0;22.445078239608808;49.43158679706597;0.32045985330073345;191.7576036571638;1239.4;80.0;0.3;101.06094251171972;0.0;212.0
396.6;108.4915697674416;244.44933227283673;397.3;108.11709677419363;59.0;0.0;107.071;36.26904651162794;93.84667151162783;0.44654549418604667;401.391396884157;2827.3;151.9;0.4;95.73155687145325;0.0;194.0
